|PPM 323398|17 47 35.088|-40 07 37.20| 0.0000| -0.0080|  3.0|F5        |D F  |STAR F5|
|PPM 301949|21 53 55.728|-37 21 53.64| 0.0086| -0.0210|  3.0|B8        |F    |STAR B8|
|PPM 297231|18 05 48.480|-30 25 26.76|-0.0041| -0.1850|  3.0|K0        |F    |STAR K0|
|PPM 282532|06 20 18.792|-30 03 48.24| 0.0007|  0.0030|  3.0|B3        |D F  |STAR B3|
|PPM 251514|07 03 01.464|-23 49 59.88|-0.0003|  0.0030|  3.0|B5        |F    |STAR B5|
|PPM 252684|07 34 18.744|-23 28 26.40|-0.0122|  0.0290|  3.0|          |CD  V|   STAR|
|PPM 261484|13 18 55.296|-23 10 17.76| 0.0047| -0.0450|  3.0|G5        |D F  |STAR G5|
|PPM 259949|12 10 07.488|-22 37 11.28|-0.0051|  0.0130|  3.0|K0        |F    |STAR K0|
|PPM 181401|22 05 47.040|-00 19 11.64| 0.0013| -0.0100|  3.0|G0        |F    |STAR G0|
|PPM 135773|19 05 24.600|+13 51 48.60|-0.0003| -0.0960|  3.0|A0        |F    |STAR A0|
|PPM 94584 |05 37 38.688|+21 08 33.00| 0.0000| -0.0210|  3.0|B3        |F    |STAR B3|
|PPM 99836 |09 45 51.072|+23 46 27.12|-0.0034| -0.0110|  3.0|G0        |F    |STAR G0|
|PPM 96453 |06 43 55.920|+25 07 51.96|-0.0004| -0.0130|  3.0|G5        |D F  |STAR G5|
|PPM 80086 |17 17 19.536|+33 06 00.00|-0.0008| -0.0070|  3.0|B3        |D    |STAR B3|
|PPM 67012 |02 09 32.616|+34 59 14.28| 0.0122| -0.0400|  3.0|A5        |F    |STAR A5|
|PPM 77976 |14 32 04.680|+38 18 29.88|-0.0097|  0.1530|  3.0|F0        |D F  |STAR F0|
|PPM 51850 |10 22 19.752|+41 29 58.20|-0.0073|  0.0340|  3.0|K5        |F    |STAR K5|
|PPM 52277 |11 09 39.792|+44 29 54.60|-0.0060| -0.0280|  3.0|K0        |F    |STAR K0|
|PPM 58782 |19 44 58.584|+45 07 50.52| 0.0054|  0.0390|  3.0|A0        |D    |STAR A0|
|PPM 46457 |03 42 55.488|+47 47 15.36| 0.0028| -0.0340|  3.0|B5        |D F  |STAR B5|
|PPM 8887  |15 20 43.704|+71 50 02.40|-0.0040|  0.0200|  3.0|A2        |F    |STAR A2|
|PPM 358820|11 35 46.848|-63 01 11.28|-0.0061| -0.0050|  3.1|B9        |D F  |STAR B9|
|PPM 337673|09 10 58.080|-58 58 00.48|-0.0014|  0.0250|  3.1|B3        |V    |STAR B3|
|PPM 338047|09 31 13.320|-57 02 03.84|-0.0039|  0.0040|  3.1|K5        |F    |STAR K5|
|PPM 345563|16 58 37.200|-55 59 24.36|-0.0023| -0.0360|  3.1|K5        |F    |STAR K5|
|PPM 326349|20 37 34.032|-47 17 29.40| 0.0052|  0.0660|  3.1|K0        |D F  |STAR K0|
|PPM 311594|07 13 32.328|-44 38 22.56| 0.0102|  0.3360|  3.1|M5        |D  R |STAR M5|
|PPM 320103|14 59 09.696|-42 06 15.48|-0.0017| -0.0240|  3.1|B3        |D F  |STAR B3|
|PPM 295564|16 51 52.224|-38 02 50.64|-0.0009| -0.0240|  3.1|B3        |F    |STAR B3|
|PPM 297508|18 17 37.632|-36 45 42.12|-0.0107| -0.1670|  3.1|M3        |D F  |STAR M3|
|PPM 281952|05 50 57.600|-35 46 06.24| 0.0048|  0.4010|  3.1|K0        |F    |STAR K0|
|PPM 223512|10 49 37.488|-16 11 37.32| 0.0065|  0.2000|  3.1|K0        |F    |STAR K0|
|PPM 237293|20 21 00.672|-14 46 53.04| 0.0029|  0.0020|  3.1|G0        |F    |STAR G0|
|PPM 155196|08 55 23.640|+05 56 43.80|-0.0066|  0.0140|  3.1|K0        |F    |STAR K0|
|PPM 105702|17 15 01.920|+24 50 21.12|-0.0015| -0.1570|  3.1|A2        |D F  |STAR A2|
|PPM 109139|19 30 43.296|+27 57 34.92| 0.0001| -0.0020|  3.1|K0        |D F  |STAR K0|
|PPM 74424 |09 21 03.312|+34 23 33.36|-0.0179|  0.0190|  3.1|K5        |F    |STAR K5|
|PPM 50941 |08 59 12.432|+48 02 30.12|-0.0443| -0.2260|  3.1|A5        |D F  |STAR A5|
|PPM 21358 |19 12 33.288|+67 39 41.40| 0.0165|  0.0930|  3.1|K0        |D F  |STAR K0|
|PPM 377680|14 26 55.488|-83 40 04.44|-0.0535| -0.0090|  3.2|K2        |V    |STAR K2|
|PPM 368176|03 47 14.328|-74 14 20.40| 0.0115|  0.1140|  3.2|M0        |F    |STAR M0|
|PPM 360934|14 42 30.408|-64 58 30.36|-0.0302| -0.2320|  3.2|F0        |D F  |STAR F0|
|PPM 310958|06 37 45.672|-43 11 45.60| 0.0002| -0.0060|  3.2|B8        |F    |STAR B8|
|PPM 320495|15 21 22.320|-40 38 51.36|-0.0013| -0.0260|  3.2|B2        |F    |STAR B2|
|PPM 296857|17 49 51.504|-37 02 35.88| 0.0041|  0.0330|  3.2|K2        |D F  |STAR K2|
|PPM 268859|18 45 39.384|-26 59 26.88| 0.0040|  0.0000|  3.2|B8        |F    |STAR B8|
|PPM 248426|05 05 27.672|-22 22 15.96| 0.0018| -0.0740|  3.2|K5        |F    |STAR K5|
|PPM 199508|16 18 19.296|-04 41 33.00| 0.0057|  0.0410|  3.2|K0        |D F  |STAR K0|
|PPM 180896|20 11 18.288|-00 49 17.40| 0.0026|  0.0040|  3.2|A0        |F    |STAR A0|
|PPM 148020|04 49 50.424|+06 57 40.68| 0.0313|  0.0110|  3.2|F8        |F    |STAR F8|
|PPM 163313|16 57 40.104|+09 22 30.00|-0.0197| -0.0100|  3.2|K0        |F    |STAR K0|
|PPM 86219 |21 12 56.184|+30 13 37.20| 0.0000| -0.0560|  3.2|K0        |D F  |STAR K0|
|PPM 82139 |18 58 56.616|+32 41 22.56|-0.0002|  0.0020|  3.2|A0        |D F  |STAR A0|
|PPM 80052 |17 15 02.832|+36 48 33.12|-0.0021|  0.0040|  3.2|K5        |F    |STAR K5|
|PPM 47723 |05 06 30.888|+41 14 04.20| 0.0026| -0.0680|  3.2|B3        |F    |STAR B3|
|PPM 32203 |09 32 51.408|+51 40 38.28|-0.1025| -0.5310|  3.2|F8        |D F  |STAR F8|
|PPM 20234 |17 08 47.184|+65 42 52.92|-0.0032|  0.0220|  3.2|B5        |F    |STAR B5|
|PPM 10863 |21 28 39.600|+70 33 38.52| 0.0021|  0.0070|  3.2|B1        |F    |STAR B1|
|PPM 11709 |23 39 20.832|+77 37 56.64|-0.0210|  0.1510|  3.2|K0        |F    |STAR K0|
|PPM 370640|10 13 44.208|-70 02 16.44|-0.0076|  0.0070|  3.3|B8        |F    |STAR B8|
